city,FIPS,tmy_id,heating_design_temp
fairbanks city,224230,702610,-38.6
alakanuk city,201200,702084,-19.6
aleknagik city,201420,703210,-14.7
anaktuvuk pass city,202080,701625,-33.4
anchorage municipality,203000,702730,-4.5
anchorage municipality,203000,702746,-8.5
anchorage municipality,203000,702746,-8.5
juneau city and borough,236400,703810,8.9
nenana city,253050,702600,-41.0
north pole city,255910,702650,-39.6
anderson city,203220,702600,-41.0
unalaska city,280770,704890,21.2
salcha cdp,266550,702650,-39.6
healy cdp,232150,702647,-36.0
ester cdp,223460,702610,-38.6
anchorage municipality,203000,702730,-4.5
whale pass cdp,284000,703870,15.8
naukati bay cdp,252845,703884,21.3
anaktuvuk pass city,202080,701625,-33.4
atqasuk city,204500,700260,-34.3
kaktovik city,236990,700637,-41.3
point hope city,261630,701043,-24.1
wainwright city,282750,700260,-34.3
fairbanks city,224230,702610,-38.6
newtok cdp,253820,702185,-10.6
point lay cdp,261700,701043,-24.1
chignik city,213550,703330,-1.6
